constant_name	type	scope	category	api_private_current	defining_file	notes
Git	module	public	entry-point	no	lib/git.rb	Primary entry point module with .open, .clone, .init, .bare, .git_version factory methods
Git::Author	class	public	value-object	no	lib/git/author.rb	Public value object returned from facade methods
Git::Branch	class	public	return-type	no	lib/git/branch.rb	Public return type from facade methods
Git::BranchDeleteFailure	class	public	value-object	no	lib/git/branch_delete_failure.rb	Public value object returned from facade methods
Git::BranchDeleteResult	class	public	value-object	no	lib/git/branch_delete_result.rb	Public value object returned from facade methods
Git::BranchInfo	class	public	value-object	no	lib/git/branch_info.rb	Public value object returned from facade methods
Git::Branches	class	public	return-type	no	lib/git/branches.rb	Public return type from facade methods
Git::CommandLine	module	internal	plumbing	no	lib/git/command_line.rb	Internal command-line execution infrastructure; not part of public API
Git::CommandLine::Base	class	internal	plumbing	no	lib/git/command_line/base.rb	Internal command-line execution infrastructure; not part of public API
Git::CommandLine::Capturing	class	internal	plumbing	no	lib/git/command_line/capturing.rb	Internal command-line execution infrastructure; not part of public API
Git::CommandLine::Result	class	internal	plumbing	no	lib/git/command_line/result.rb	Internal command-line execution infrastructure; not part of public API
Git::CommandLine::Streaming	class	internal	plumbing	no	lib/git/command_line/streaming.rb	Internal command-line execution infrastructure; not part of public API
Git::CommandLineError	class	public	error	no	lib/git/errors.rb	Public exception class raised by facade methods
Git::Commands	module	internal	command-wrapper	yes	lib/git/commands.rb	Command implementation detail; not part of public API
Git::Commands::Add	class	internal	command-wrapper	yes	lib/git/commands/add.rb	Command implementation detail; not part of public API
Git::Commands::Am	class	internal	command-wrapper	yes	lib/git/commands/am.rb	Command implementation detail; not part of public API
Git::Commands::Am::Abort	class	internal	command-wrapper	yes	lib/git/commands/am/abort.rb	Command implementation detail; not part of public API
Git::Commands::Am::Apply	class	internal	command-wrapper	yes	lib/git/commands/am/apply.rb	Command implementation detail; not part of public API
Git::Commands::Am::Continue	class	internal	command-wrapper	yes	lib/git/commands/am/continue.rb	Command implementation detail; not part of public API
Git::Commands::Am::Quit	class	internal	command-wrapper	yes	lib/git/commands/am/quit.rb	Command implementation detail; not part of public API
Git::Commands::Am::Retry	class	internal	command-wrapper	yes	lib/git/commands/am/retry.rb	Command implementation detail; not part of public API
Git::Commands::Am::ShowCurrentPatch	class	internal	command-wrapper	yes	lib/git/commands/am/show_current_patch.rb	Command implementation detail; not part of public API
Git::Commands::Am::Skip	class	internal	command-wrapper	yes	lib/git/commands/am/skip.rb	Command implementation detail; not part of public API
Git::Commands::Apply	class	internal	command-wrapper	yes	lib/git/commands/apply.rb	Command implementation detail; not part of public API
Git::Commands::Archive	class	internal	command-wrapper	yes	lib/git/commands/archive.rb	Command implementation detail; not part of public API
Git::Commands::Archive::ListFormats	class	internal	command-wrapper	yes	lib/git/commands/archive/list_formats.rb	Command implementation detail; not part of public API
Git::Commands::Arguments	module	internal	command-arguments	yes	lib/git/commands/arguments.rb	Command implementation detail; not part of public API
Git::Commands::Arguments::Bound	class	internal	command-arguments	yes	lib/git/commands/arguments.rb	Command implementation detail; not part of public API
Git::Commands::Base	class	internal	command-wrapper	yes	lib/git/commands/base.rb	Command implementation detail; not part of public API
Git::Commands::Branch	class	internal	command-wrapper	yes	lib/git/commands/branch.rb	Command implementation detail; not part of public API
Git::Commands::Branch::Copy	class	internal	command-wrapper	yes	lib/git/commands/branch/copy.rb	Command implementation detail; not part of public API
Git::Commands::Branch::Create	class	internal	command-wrapper	yes	lib/git/commands/branch/create.rb	Command implementation detail; not part of public API
Git::Commands::Branch::Delete	class	internal	command-wrapper	yes	lib/git/commands/branch/delete.rb	Command implementation detail; not part of public API
Git::Commands::Branch::List	class	internal	command-wrapper	yes	lib/git/commands/branch/list.rb	Command implementation detail; not part of public API
Git::Commands::Branch::Move	class	internal	command-wrapper	yes	lib/git/commands/branch/move.rb	Command implementation detail; not part of public API
Git::Commands::Branch::SetUpstream	class	internal	command-wrapper	yes	lib/git/commands/branch/set_upstream.rb	Command implementation detail; not part of public API
Git::Commands::Branch::ShowCurrent	class	internal	command-wrapper	yes	lib/git/commands/branch/show_current.rb	Command implementation detail; not part of public API
Git::Commands::Branch::UnsetUpstream	class	internal	command-wrapper	yes	lib/git/commands/branch/unset_upstream.rb	Command implementation detail; not part of public API
